designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1000225938242805248,-223.0113319491016,932.6710034757706,1422.9000916710422,1.0247303,15.77085
Gaia DR2 1000383512003001728,-104.98949285361162,386.7494939474523,600.1675833173017,1.3887109,13.252875
Gaia DR2 1000250024419296000,-171.08317870193278,720.7807146498963,1114.79843917124,1.5079575,14.344414
Gaia DR2 1000176013542934016,-183.10735073395944,866.6730819374192,1311.9424028088326,2.257428,14.053515
Gaia DR2 1000313035883659264,-39.26954716857272,180.0803515911807,280.22435241623884,0.8863408,12.603748
Gaia DR2 1000241984240618240,-124.55446735990917,527.3931812261974,811.1240279837051,0.7392548,16.503149
Gaia DR2 1000359735063735040,-193.50323724581332,889.3306946931218,1415.6953845526236,1.4293281,14.919359
Gaia DR2 1000252975061387648,-222.66604989760714,957.9319320302458,1482.9290204133251,1.0512198,15.810635
Gaia DR2 1000286342662707072,-206.6951244421647,866.5509739570151,1362.4331086251455,0.8785607,16.372553
Gaia DR2 1000188932804604032,-212.08240107661936,936.5708213778097,1425.7894405228947,1.0707539,15.783054
Gaia DR2 1000227828028415232,-229.32170648192252,966.905159232284,1480.8636869365153,0.97388005,15.813182
Gaia DR2 1000380453986289664,-201.96595534948227,741.1628183285862,1146.1685760275811,0.92149097,15.818589
Gaia DR2 1000293416473401216,-31.21938058232044,138.23797809566327,213.16965329262814,0.7875058,14.596389
Gaia DR2 1000386432580767232,-188.62898978758273,699.8022711397531,1087.0764147280952,1.114653,15.323741
Gaia DR2 1000420895398243584,-107.34415796834726,397.3814574527963,625.2979953696661,0.67438596,16.088472
Gaia DR2 1000363686433960320,-38.39598624421247,138.54667200490775,213.17131027922946,1.1157758,11.4911585
Gaia DR2 1000182644972434176,-76.01321801453705,359.33355289825704,545.7206580608604,0.78097594,15.071172
Gaia DR2 1000279951751421952,-161.43411349535324,697.7445330840825,1087.6668634630103,0.8845915,15.901201
Gaia DR2 1000338741263613440,-210.11677348537629,904.3743621462543,1430.5641411733864,0.9581894,15.571029
Gaia DR2 1000359597624782464,-175.15395946734427,805.2816746581342,1281.0415126322898,2.3331554,13.464499
Gaia DR2 1000387051056054400,-143.2165184982717,531.2893147660615,826.990642671412,2.6150944,13.028633
Gaia DR2 1000302800977452672,-173.04189418336847,754.150451771415,1172.3280614200396,0.6761101,16.373835
Gaia DR2 1000347709155304192,-216.97413996090603,975.1825486622085,1541.0840919973311,1.7958094,14.370406
Gaia DR2 1000383855600387968,-143.8932510674201,532.896532827255,828.0549333445932,0.973092,15.086798
Gaia DR2 1000359391466351744,-45.4535881459188,208.4380594624537,331.4042724910362,0.65895796,14.430307
Gaia DR2 1000282666170606976,-202.81457023070638,870.9619854128068,1365.330985788062,3.5983586,13.7759285
Gaia DR2 1000286754979563776,-255.72451730718316,1071.2912445249708,1685.9001422406059,1.9400027,14.906293
Gaia DR2 1000302800977451008,-91.96208757100588,400.1162777407646,621.9847365111397,0.6100606,16.614561
Gaia DR2 1000348499429286784,-101.01051938128234,454.57498465644807,718.7229644901179,0.6520635,15.738831
Gaia DR2 1000303213294312320,-127.92193835356021,559.5148436626167,871.2868882974561,0.8534242,15.78722
Gaia DR2 1000310291400310784,-59.99303082831803,272.8209558806018,423.11460186506906,1.7646328,11.978356
Gaia DR2 1000251879845169664,-141.07296850538538,599.6087716941161,930.2283247096341,0.8480014,16.142574
Gaia DR2 1000311837588537984,-146.03309953577642,665.8475723990852,1033.3509358870724,2.495331,13.3470545
Gaia DR2 1000209342489136768,-189.4838001514236,895.0962217051275,1368.4912514603514,1.3590804,15.082035
Gaia DR2 1000185359391763200,-101.08554460808625,480.60907685343346,732.6781786888864,0.66609097,16.197514
Gaia DR2 1000408251014576896,-170.88190390638812,598.6590132948469,942.5199568529482,0.95385563,15.6014
Gaia DR2 1000408319734053504,-254.20570032838964,890.8326053553801,1402.94313937952,1.3248175,15.184814
Gaia DR2 1000338466385705472,-228.56577789374757,980.9488100068775,1551.0012409286285,16.299995,11.2167635
Gaia DR2 1000310909875609216,-148.767662523778,686.1000786604518,1064.1639107157478,0.94451326,16.005444
Gaia DR2 1000383202765357312,-67.59985530644666,249.2661430182866,386.7248089684256,0.6025676,15.356249
Gaia DR2 1000251845485431552,-149.04994829319423,633.7328935889402,983.1683116490331,1.817659,13.748735
Gaia DR2 1000410175159925632,-235.12041697659745,830.6639826770377,1313.0990985151732,0.90645987,16.583927
Gaia DR2 1000336576600103936,-293.5629263065011,1272.402891986051,2005.483175164214,1.6804459,15.129575
Gaia DR2 1000408354093791744,-271.67681193655017,952.7888815012136,1501.6238516682918,1.3001487,15.386851
Gaia DR2 1000251948564646784,-57.188194701365745,243.65842472355357,378.3542646788019,0.51796013,16.858332
Gaia DR2 1000352863116065152,-96.47594726141654,442.36167850026794,701.1742189541571,1.2539924,13.323413
Gaia DR2 1000295207475295488,-300.03502011038216,1323.7269124451507,2046.5003996653047,3.361755,14.594493
Gaia DR2 1000310497558749056,-35.425142562928976,162.72993615041014,251.93678559084,0.52862287,15.721671
Gaia DR2 1000383202765357952,-56.85384471332634,209.70581501689927,325.32481126839735,0.56776077,16.047789
Gaia DR2 1000251914204910720,-130.18294932369932,554.4131423558388,860.0587352593359,0.7839269,15.905283
Gaia DR2 1000316235635055488,-160.79397639544055,747.1897278921916,1163.0804827618074,1.9673316,13.937505
Gaia DR2 1000381794016091648,-130.9642959186504,485.83715708530826,752.635884327437,1.25464,14.24121
Gaia DR2 1000352966195280640,-104.38504615128805,479.80015311127784,761.1024567800347,0.9646728,14.904869
Gaia DR2 1000292664854658432,-83.5521990231445,367.4322972885303,566.5800717156624,1.0677472,15.387273
Gaia DR2 1000424365731788160,-421.0833434213458,1515.2769792840777,2397.1603503908054,4.020572,14.715824
Gaia DR2 1000381622217399936,-55.34348700233285,205.03446831656103,317.36647588624976,3.2970407,9.390469
Gaia DR2 1000314689446828032,-160.4808224559672,743.3297868415606,1156.1377711245711,1.1442521,15.056959
Gaia DR2 1000238170309558912,-86.01982229221657,361.2270057390707,557.8970305930195,1.6749831,12.660726
Gaia DR2 1000348258911123584,-67.48127525636589,306.7323029574579,484.48933377110217,1.0557928,13.669944
Gaia DR2 1000351282568101248,-242.7425200749334,1107.3837687046957,1750.1237797033743,1.4908264,15.121483
Gaia DR2 1000310497558748544,-40.15705034970363,184.21025055810662,285.1765297376894,0.64052296,14.197579
Gaia DR2 1000317403866160256,-139.25355956844584,649.9348229791507,1013.3687248301468,1.0678357,15.226998
Gaia DR2 1000380724567676288,-132.8429691620234,489.2623972697924,757.3414072603963,0.61272,16.45753
Gaia DR2 1000366744450681216,-314.03267166259576,1140.8581054582944,1754.4041658215074,1.1439974,15.6225815
Gaia DR2 1000419383569754496,-117.42593254616156,432.13068160645116,678.5548467871535,0.96945477,14.339949
Gaia DR2 1000411309031204736,-73.3810529325806,261.57920636031446,412.5872302353458,1.4236275,12.141988
Gaia DR2 1000297299123658240,-80.49557072577187,362.70627734645353,559.7644241456256,2.1267562,11.992693
Gaia DR2 1000311287832730368,-93.75979370506711,431.698923993742,669.4985542644721,0.6708111,16.509365
Gaia DR2 1000248478231073536,-188.6910015950015,795.19029033893,1227.9008143795627,2.6114197,14.2154875
Gaia DR2 1000351969762869120,-95.34185311463095,436.9778961670756,691.7207200962247,1.2703015,14.063597
Gaia DR2 1000229442936114304,-457.9368293943101,1927.7794500971534,2956.935858169353,21.090096,11.90392
Gaia DR2 1000414229608965760,-291.9625190652026,1048.2229159723552,1660.4932287239403,1.3053713,15.530453
Gaia DR2 1000368084480478848,-297.9360760290171,1091.401118071634,1684.1434231989283,5.1069283,13.453337
Gaia DR2 1000197969415678720,-72.71006854779446,320.7118202387483,492.0345075799261,0.7522007,15.902802
Gaia DR2 1000407598179459072,-190.9790564809707,676.5876584787362,1064.6505220078768,1.1232092,14.904708
Gaia DR2 1000311322192468096,-230.07822576912022,1059.4788616208,1643.9611499581258,1.1566108,15.836907
Gaia DR2 1000229133698468864,-143.41266647301666,602.7657762796098,923.9180309494111,1.5084412,13.917463
Gaia DR2 1000386741818416384,-275.03619569309757,1026.6689871575486,1595.7527492603601,1.3371432,15.302851
Gaia DR2 1000255315819009792,-448.47784262135553,1922.4069863526133,2990.3600502771424,6.825565,13.920175
Gaia DR2 1000358772991063296,-117.69667190526707,539.5466938795547,855.8653770305458,0.86228657,15.798902
Gaia DR2 1000314277129968640,-123.50180200491549,570.4830978556183,885.8461031269576,0.62347674,16.553236
Gaia DR2 1000348224551384064,-240.6923854275598,1090.162200928427,1721.5159969208908,2.0926132,14.341489
Gaia DR2 1000184942779357312,-132.80969029952428,624.1407259482382,952.6777976230416,0.6861162,16.405273
Gaia DR2 1000381312979753728,-41.56140120174048,153.48106191100453,237.28047618220035,0.50631195,16.589771
Gaia DR2 1000250196217991808,-136.8253637564398,578.1143183189987,893.7525939428317,1.1599218,14.809912
Gaia DR2 1000367637803880192,-99.39629629581322,362.66742793817934,558.3405511565239,0.85395867,14.503582
Gaia DR2 1000412545981786752,-390.33888488361833,1398.5791703560717,2211.176139992096,2.0091658,15.078019
Gaia DR2 1000381519138183168,-108.3092411449827,400.44929543210156,619.7375197046957,0.52556616,16.28414
Gaia DR2 1000250264937468416,-56.041330513111774,236.9371833295576,366.43929271115985,0.80153984,13.697196
Gaia DR2 1000410587476699904,-391.354506926684,1390.921193409841,2189.1265278260794,1.6388699,15.43367
Gaia DR2 1000241571923761792,-83.41576017961911,353.9906289263899,543.8939591595923,0.703016,16.16484
Gaia DR2 1000351763604435072,-123.0891095446565,559.3419004534063,885.1890416685651,0.83206797,15.562102
Gaia DR2 1000316373074006144,-181.83696488105454,843.0430601428543,1313.3163409898286,1.3808618,14.420195
Gaia DR2 1000411377750682112,-163.24201143152362,582.5479888140904,919.0054421782097,0.8088533,15.681998
Gaia DR2 1000317850542756096,-263.1902398091289,1228.5744116285184,1919.109998288982,1.2448297,16.012169
Gaia DR2 1000310634997700480,-113.45924467192829,520.5705194922932,806.6302803818882,1.7096683,13.362801
Gaia DR2 1000177903328628864,-132.6988769715382,611.3036028251613,924.9742471981763,1.6076555,13.360565
Gaia DR2 1000388803402704768,-304.31992832849176,1117.1327804689,1736.8359711032297,1.5823785,15.2902155
Gaia DR2 1000318022341448064,-133.5640942214247,624.7671434768106,976.6968450441178,0.9699845,15.010557
Gaia DR2 1000251055211452928,-141.7566691493016,601.0994421944997,930.2421366803131,0.96747226,15.745086
Gaia DR2 1000302968480320256,-36.94917373386055,161.39330966952716,250.86531722241858,0.64478344,13.968182
Gaia DR2 1000381416058968448,-148.44245111248566,548.7099944047437,848.8156815315706,0.6795353,15.927396
Gaia DR2 1000424434451266816,-87.89771433333128,317.0517448660743,501.6863226722251,0.688896,16.943209
Gaia DR2 1000410621836437888,-108.6117057845903,386.24823835788203,608.1957163927843,1.5943445,13.274115
Gaia DR2 1000387154135273728,-119.47670354468634,445.0067401817676,692.191529768873,0.71402806,16.253023
Gaia DR2 1000302487443982592,-91.38012109739871,403.5264092163284,627.1458546743829,0.95895034,14.558289
Gaia DR2 1000386398221029760,-39.36312282590963,145.96256762435428,226.5150914264063,0.6404792,15.066652
Gaia DR2 1000348808666935296,-367.1306972593348,1667.237544690218,2637.897217420007,2.7345555,14.949905
Gaia DR2 1000238543971061248,-64.78546923979205,269.42816536756976,416.9477009691127,0.9116072,14.028838
Gaia DR2 1000285518028981632,-116.01692212656593,484.12359419419636,760.7792835117641,0.9957302,14.446935
Gaia DR2 1000226453638873344,-102.81612876942825,428.2424424677048,654.6448219686454,1.9952,13.202053
Gaia DR2 1000418112259415680,-162.98538615467896,591.5593558868745,933.3935197669965,1.2241815,14.806468
Gaia DR2 1000227999827100416,-116.4407208594211,485.9621146494444,743.3622024623417,0.6901031,16.054752
Gaia DR2 1000348018392953088,-187.99156352590452,849.8997229180885,1342.0931112917672,1.4886756,14.850503
Gaia DR2 1000242018600359424,-260.95741166110395,1108.358157852445,1704.6448293414192,1.5722336,15.169895
Gaia DR2 1000412545981787904,-119.95225957686831,430.05640038576746,679.9324903804007,1.3046008,13.965362
Gaia DR2 1000381519138182272,-287.37346820415917,1062.5451361612152,1645.2480851905766,5.348276,13.541276
Gaia DR2 1000411377750683136,-298.76129360410766,1067.1743998293089,1683.9175626522938,1.3168534,15.428741
Gaia DR2 1000424434451266048,-261.5661615007071,942.4596009190612,1491.225739720192,1.178192,15.344283
Gaia DR2 1000241159606900352,-149.2364002966411,630.374919349639,966.9068144376425,0.94809383,15.779725
Gaia DR2 1000410587476700800,-18.880848998565323,67.1420898204761,105.68203366281672,0.629508,12.40915
Gaia DR2 1000177525371509632,-78.16831971656724,360.740416852407,545.721479061867,0.6199063,16.644323
Gaia DR2 1000348018392953344,-81.20854866614843,366.870419052278,579.0480556549006,0.57143015,15.755306
Gaia DR2 1000185737348979712,-179.06160053488892,846.2306735532885,1292.0549117430173,0.9812793,16.176111
Gaia DR2 1000352038482343424,-135.09513549637998,616.9034130429196,976.8772652111456,0.8499012,15.721234
Gaia DR2 1000424434451265792,-60.14890227687153,216.84799667283758,343.2337084279781,0.72023815,15.1430435
Gaia DR2 1000229477295850496,-53.940193146318634,226.77186859605078,347.98674895716925,0.8079342,13.839994
Gaia DR2 1000371069481678592,-406.47969741159034,1445.0702653138962,2235.10742160267,2.0621762,14.660043
Gaia DR2 1000412545981788032,-121.65722864106846,436.2746937649029,689.761972770027,0.8973735,15.344957
Gaia DR2 1000359150948187136,-201.21594589264893,929.823471047517,1477.576683907651,1.5832542,15.535827
Gaia DR2 1000347021960597632,-149.30025400914838,673.1268975926176,1060.5195416108259,1.1979425,14.464839
Gaia DR2 1000379698072049024,-210.0910727992386,770.6157891817497,1188.0446900152465,0.8884745,16.073475
Gaia DR2 1000368393718122240,-75.80388058025572,276.93111817933436,427.276113315732,1.2393401,12.776811
Gaia DR2 1000303625611168640,-127.31082940939766,556.489227224888,867.5990078876212,0.61431545,16.60421
Gaia DR2 1000229271137420544,-210.39599417405432,883.8217855456679,1355.6379805820973,1.4553268,14.544171
Gaia DR2 1000407529459984640,-262.7724940633074,932.5807641864264,1466.8850162194976,10.785321,11.666247
Gaia DR2 1000366538292250240,-303.68850264803746,1102.292929439338,1694.961472806566,1.3779422,15.035879
Gaia DR2 1000174600497573376,-73.39047358621974,349.64112734371736,527.3598391555577,1.4619939,12.461005
Gaia DR2 1000317610024588160,-209.316931137996,974.5625266327077,1520.3870368849798,0.99597234,16.292364
