designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1004417482727101440,-86.33840466040384,674.9366068312507,1106.5496660827955,0.8395243,16.43831
Gaia DR2 1004632815207189376,-110.91446477975965,1036.3241659038808,1726.7686234263447,1.2462232,16.094475
Gaia DR2 1004477028153415424,-20.96564658711202,154.91689910628432,258.15568529279074,0.6240889,15.788088
Gaia DR2 1004464383769818240,-46.40098190648498,339.61426305774137,559.7663191223211,0.6959308,15.244357
Gaia DR2 1004408201300972544,-108.1259779729633,970.0914421385381,1594.200319103505,0.8129972,16.913563
Gaia DR2 1004636182461548544,-10.12400183718833,96.85349432934332,162.17908655784183,1.0266039,11.246792
Gaia DR2 1004490222292881280,-81.22501294307126,540.9748438275876,906.8225614633985,1.4319559,14.319909
Gaia DR2 1004568528136835200,-57.69536201262231,481.8066903625665,815.3018132847402,0.965475,14.978053
Gaia DR2 1004623160120716160,-44.710457072688314,414.7507757646626,687.4066994167617,1.0726599,14.778418
Gaia DR2 1004464796086678912,-145.8726513740757,1075.0754577874056,1774.8716097961847,1.1984621,15.483667
Gaia DR2 1004558941769828352,-22.76959795094775,175.2656232565025,296.32877586583334,1.8692696,11.328241
Gaia DR2 1004650063795687552,-61.35956165837017,612.9374563634279,1032.893987618463,1.0233694,15.352865
Gaia DR2 1004546915861159168,-141.60249238482308,1207.3508526086664,2035.3708837261333,2.8909993,14.936833
Gaia DR2 1004470156205852800,-64.40485281114559,465.57265360922503,769.7083272324435,0.6236384,16.14228
Gaia DR2 1004462047307609728,-44.6909832999448,325.0066773148549,534.8133901368261,0.98941433,13.707329
Gaia DR2 1004645700108943232,-88.41753750550903,935.6192499005938,1569.4294667271686,2.2396102,14.543393
Gaia DR2 1004449506003100544,-42.07117148898005,298.33436330102484,488.84571022633514,0.90929604,13.873212
Gaia DR2 1004548565128600960,-39.5673197286639,342.8258662402651,579.8273373774404,0.8012929,15.996897
Gaia DR2 1004435968266249856,-101.38282455006325,860.762361791465,1422.0231011102971,1.7555996,13.955965
